// Example coordinates for stations (NAME, LONGITUDE, LATITUDE, HEIGHT)
// Make sure the number of spaces remains the same (height is ignored: can be 0.000)
// Can be submitted to the ocean loading provider @ http://holt.oso.chalmers.se/loading/
109YY                       -155.266275     19.4171132      0.0000
110YY                       -155.269603     19.4110286      0.0000
112YY                       -155.280789     19.386719       0.0000
113YY                       -155.274623     19.379911       0.0000
118YY                       -155.293896     19.402227       0.0000
131YY                       -155.246831     19.3661         0.0000
132YY                       -155.254715     19.354582       0.0000
133YY                       -155.265536     19.345466       0.0000
19YY                        -155.23859      19.412754       0.0000
203YY                       -155.295644     19.416607       0.0000
204YY                       -155.296423     19.407403       0.0000
205YY                       -155.280470     19.4024968      0.0000
21YY                        -155.249420     19.41128        0.0000
22YY                        -155.253171     19.405053       0.0000
25YY                        -155.244622     19.385736       0.0000
93YY                        -155.273152     19.432061       0.0000
94YY                        -155.283120     19.43098        0.0000
96YY                        -155.289976     19.429988       0.0000
T3973                       -155.258996     19.4299         0.0000
79-508                      -155.270992     19.3992759      0.0000
79-509                      -155.253315     19.398645       0.0000
79-510                      -155.250551     19.393316       0.0000
79-511                      -155.238114     19.37819        0.0000
79-515                      -155.251724     19.361966       0.0000
79-517                      -155.271963     19.342779       0.0000
HVO10                       -155.265820     19.40218        0.0000
HVO24                       -155.297829     19.43477        0.0000
HVO25                       -155.294342     19.432464       0.0000
HVO26                       -155.288316     19.424714       0.0000
HVO27                       -155.288860     19.42037        0.0000
HVO28                       -155.292509     19.418723       0.0000
HVO29                       -155.294781     19.412818       0.0000
HVO31                       -155.291230     19.39755        0.0000
HVO32                       -155.287718     19.398837       0.0000
HVO33                       -155.284450     19.400495       0.0000
HVO34                       -155.278192     19.3996687      0.0000
HVO35                       -155.274922     19.3991471      0.0000
HVO41                       -155.278271     19.4056666      0.0000
HVO44                       -155.271070     19.4087443      0.0000
HVO45                       -155.267049     19.4135037      0.0000
HVO46                       -155.269578     19.4157454      0.0000
HVO47                       -155.271885     19.4133191      0.0000
HVO48                       -155.275552     19.4127883      0.0000
HVO49                       -155.278537     19.4116979      0.0000
P1                          -155.301304     19.437016       0.0000
REBAR4                      -155.279525     19.392465       0.0000
82-501                      -155.277587     19.4081554      0.0000
UWE-G                       -155.291366     19.4208431      0.0000
HOVL-G                      -155.279403     19.4043102      0.0000
NOSE                        -155.301860     19.383695       0.0000
68-15                       -155.281270     19.36391        0.0000
68-13                       -155.274670     19.37206        0.0000
HVO132                      -155.282270     19.3872         0.0000
HVO26R                      -155.288421     19.4236984      0.0000
HVO27R                      -155.288497     19.4203758      0.0000
